board_hash,value
('81064086799575152666.02.0-1', 4),0.0
('18505688312929042794.04.0-1', 1),0.0
('-73006787035497966802.06.0-1', 4),0.0
('3423692438057297013.05.0-1', 4),0.0
('28621884852444942.06.0-1', 2),0.0
('-10890614319079692604.04.0-1', 0),0.0
('10528447818443255700.08.0-1', 1),0.9499850113387067
('480923064984873701.07.0-1', 4),0.6795405714971152
('38143990945221037921.07.0-1', 1),0.62415
('12040669454115276101.07.0-1', 4),0.23474024999999996
('-10890614319079692603.05.0-1', 0),0.0
('3423692438057297015.03.0-1', 4),0.0
('17211520026901358141.07.0-1', 4),0.8381003717302873
('10528447818443255701.07.0-1', 1),0.7903335
('44129806240045197435.03.0-1', 1),0.0
('40755390135908240591.07.0-1', 1),0.62415
('-70451175241569054461.07.0-1', 1),0.9468428715958879
('41798233463526626771.07.0-1', 4),0.08122499999999999
('49070697614415888183.05.0-1', 4),0.2505055064752101
('-15126290399417294272.06.0-1', 1),0.285
('68674931026920194512.06.0-1', 4),0.08122499999999999
